title,console,console_fabricator,genre,publisher,developer,release_date,ano,total_sales,na_sales,jp_sales,pal_sales,other_sales
Grand Theft Auto V,PS3,Sony,Action,Rockstar Games,Rockstar North,2013-09-17,2013,20.330000000000002,6.37,0.99,9.85,3.12
Grand Theft Auto V,PS4,Sony,Action,Rockstar Games,Rockstar North,2014-11-18,2014,19.39,6.06,0.6,9.71,3.02
Grand Theft Auto: Vice City,PS2,Sony,Action,Rockstar Games,Rockstar North,2002-10-28,2002,16.150000000000002,8.41,0.47,5.49,1.78
Grand Theft Auto V,X360,Microsoft,Action,Rockstar Games,Rockstar North,2013-09-17,2013,15.870000000000001,9.06,0.06,5.33,1.42
Call of Duty: Black Ops 3,PS4,Sony,Shooter,Activision,Treyarch,2015-11-06,2015,15.08,6.18,0.41,6.05,2.44
Call of Duty: Modern Warfare 3,X360,Microsoft,Shooter,Activision,Infinity Ward,2011-11-08,2011,14.820000000000002,9.07,0.13,4.29,1.33
Call of Duty: Black Ops,X360,Microsoft,Shooter,Activision,Treyarch,2010-11-09,2010,14.74,9.76,0.11,3.73,1.14
Red Dead Redemption 2,PS4,Sony,Action-Adventure,Rockstar Games,Rockstar Games,2018-10-26,2018,13.94,5.26,0.21,6.21,2.26
Call of Duty: Black Ops II,X360,Microsoft,Shooter,Activision,Treyarch,2012-11-13,2012,13.86,8.27,0.07,4.32,1.2
Call of Duty: Black Ops II,PS3,Sony,Shooter,Activision,Treyarch,2012-11-13,2012,13.799999999999999,4.99,0.65,5.88,2.28
Call of Duty: Modern Warfare 2,X360,Microsoft,Shooter,Activision,Infinity Ward,2009-11-10,2009,13.53,8.54,0.08,3.63,1.28
Call of Duty: WWII,PS4,Sony,Shooter,Activision,Sledgehammer Games,2017-11-03,2017,13.400000000000002,4.67,0.4,6.21,2.12
Call of Duty: Modern Warfare 3,PS3,Sony,Shooter,Activision,Infinity Ward,2011-11-08,2011,13.350000000000001,5.54,0.49,5.78,1.54
Grand Theft Auto III,PS2,Sony,Action,Rockstar Games,DMA Design,2001-10-23,2001,13.100000000000001,6.99,0.3,4.51,1.3
Call of Duty: Black Ops,PS3,Sony,Shooter,Activision,Treyarch,2010-11-09,2010,12.67,6.01,0.48,4.4,1.78
FIFA 18,PS4,Sony,Sports,EA Sports,EA Vancouver,2017-09-29,2017,11.790000000000001,1.27,0.15,8.64,1.73
Grand Theft Auto IV,X360,Microsoft,Action,Rockstar Games,Rockstar North,2008-04-29,2008,11.09,6.8,0.14,3.11,1.04
FIFA 17,PS4,Sony,Sports,Electronic Arts,EA Canada,2016-09-27,2016,10.94,1.26,0.12,7.95,1.61
Call of Duty: Modern Warfare 2,PS3,Sony,Shooter,Activision,Infinity Ward,2009-11-10,2009,10.620000000000001,4.99,0.38,3.66,1.59
Grand Theft Auto IV,PS3,Sony,Action,Rockstar Games,Rockstar North,2008-04-29,2008,10.580000000000002,4.79,0.44,3.73,1.62
Call of Duty: Ghosts,X360,Microsoft,Shooter,Activision,Infinity Ward,2013-11-05,2013,10.42,6.76,0.04,2.64,0.98
Call of Duty: Ghosts,PS3,Sony,Shooter,Activision,Infinity Ward,2013-11-05,2013,10.129999999999999,4.11,0.39,4.01,1.62
Halo: Reach,X360,Microsoft,Shooter,Microsoft Game Studios,Bungie,2010-09-14,2010,9.97,7.08,0.08,2.01,0.8
Halo 4,X360,Microsoft,Shooter,Microsoft Studios,343 Industries,2012-11-06,2012,9.95,6.72,0.04,2.36,0.83
